Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.01699467438886673,0.023791938136902557,0.0960613170865325,0.00018744445845371883,18,6,16
2,0.03047783291923917,0.02788072944527761,0.0960613170865325,1.356957979045803e-05,16,11,25
3,0.036174823768165776,0.033670338745358505,0.10563401786440331,0.0001675454098696106,19,6,8
4,0.03995161067564909,0.03447717895796122,0.10563401786440331,1.356957979045803e-05,19,9,21
5,0.04235118539900001,0.03375031890800459,0.10563401786440331,5.2901385276787945e-05,22,11,33
6,0.04621998844842455,0.03674939725163673,0.10563401786440331,0.00048318135702285925,16,4,16
7,0.05305007339443996,0.03899956974156975,0.11444016933550362,0.00043746016120260685,18,5,17
8,0.055324069672971384,0.04366533909296046,0.1304484460167822,2.380949872312688e-05,13,9,19
9,0.05149319342918823,0.04300677869284808,0.1304484460167822,1.356957979045803e-05,16,8,24
10,0.062160995577579516,0.04620196342532286,0.158915333219876,7.256214972115208e-05,17,10,26
11,0.06163760495432538,0.04882034223711088,0.158915333219876,0.00031796836904549107,15,3,21
12,0.05848553480767237,0.0528039719294811,0.158915333219876,1.356957979045803e-05,17,4,18
13,0.07264310481081045,0.05972381985679097,0.1750134064790136,1.356957979045803e-05,15,7,17
14,0.083073822171302,0.06165050216448759,0.1750134064790136,1.356957979045803e-05,15,4,30
15,0.07186118069739235,0.06412414299538913,0.1750134064790136,1.356957979045803e-05,16,10,18
16,0.08775816438843823,0.06730288081375442,0.1750134064790136,0.00021625346711387603,13,1,29
17,0.07828699014649829,0.0668221453602878,0.1750134064790136,0.0,12,7,39
18,0.07048077121633611,0.06737594935305805,0.1750134064790136,0.00021625346711387603,15,4,30
19,0.0718682516092749,0.06906782596717712,0.1750134064790136,1.356957979045803e-05,15,4,34
20,0.09026351710914775,0.07389513191336058,0.1750134064790136,2.5383490428103392e-05,12,7,29
21,0.08239955439201742,0.07289648827214255,0.1750134064790136,0.0009036810677518624,9,0,20
22,0.0815062083910119,0.0730375135130837,0.1750134064790136,2.5383490428103392e-05,12,3,21
23,0.08924208626927048,0.07429551269135014,0.1750134064790136,0.00021625346711387603,11,4,22
24,0.08106915227084562,0.07176629598633098,0.1750134064790136,2.5383490428103392e-05,10,5,19
25,0.0960085314682995,0.07260173931771735,0.1750134064790136,0.00021625346711387603,11,4,22
26,0.08936931903497819,0.07295267967330958,0.1750134064790136,0.00021625346711387603,9,6,26
27,0.08795540467649879,0.07261516408375501,0.1750134064790136,2.5383490428103392e-05,10,7,23
28,0.09342941959068743,0.07248886722260031,0.1750134064790136,1.356957979045803e-05,12,6,18
29,0.09612561912699118,0.07312930540904802,0.1750134064790136,0.0001675454098696106,10,3,25
30,0.08436863475812414,0.07095496127480933,0.1750134064790136,4.09297286671355e-05,12,6,24
31,0.08359913527469623,0.07195553470512493,0.1750134064790136,1.2040300767436537e-05,11,6,28
32,0.08536815566462604,0.07087146750301412,0.1750134064790136,0.00031796836904549107,13,4,14
33,0.08531176745522322,0.07433263896127205,0.1750134064790136,4.09297286671355e-05,14,4,22
34,0.08671365716221502,0.0707011500078118,0.1750134064790136,0.00039650139568418974,14,4,24
35,0.08763401555401781,0.07118300114408366,0.1750134064790136,0.0001675454098696106,13,4,26
36,0.0860409481929373,0.073358336687808,0.1750134064790136,4.09297286671355e-05,11,2,18
37,0.08333281432962139,0.07189346185218617,0.1750134064790136,0.00021625346711387603,18,5,19
38,0.07512379359034106,0.06996283237899692,0.1750134064790136,0.00021625346711387603,17,3,23
39,0.08417684847698649,0.07303726411070802,0.1750134064790136,3.803410188467457e-05,13,5,25
40,0.0814013869285759,0.071136595075355,0.1750134064790136,7.827902127537426e-05,16,9,23
41,0.08638355938354271,0.07300490613099181,0.1750134064790136,4.09297286671355e-05,10,6,32
42,0.08132814994122306,0.07076048298653272,0.1750134064790136,4.09297286671355e-05,12,5,35
43,0.08400445946048396,0.06872710214233696,0.1750134064790136,4.09297286671355e-05,13,10,28
44,0.07715600901333548,0.06846354355503788,0.1750134064790136,0.00020485392158005666,13,6,32
45,0.09385948413310859,0.07167270533149307,0.1750134064790136,0.0001675454098696106,12,2,36
46,0.0841458549237531,0.06957424888766833,0.1750134064790136,4.09297286671355e-05,14,3,29
47,0.09763609223034277,0.07289267024233734,0.1750134064790136,4.09297286671355e-05,11,4,26
48,0.0926722709064648,0.07495825842832671,0.1750134064790136,0.00021625346711387603,12,4,24
49,0.08676955285620812,0.07161315153426141,0.1750134064790136,0.0003724164741206029,12,8,24
50,0.07609318892200403,0.07246402051470048,0.1750134064790136,0.00021625346711387603,10,4,28
