Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.014185013990902948,0.01913110385921143,0.10563401786440331,0.0,82,146,304
2,0.01929252125726997,0.023364052309370234,0.1743262699023804,0.0,79,146,312
3,0.022959076190958553,0.025021238507920013,0.1743262699023804,6.232449021384381e-16,75,112,336
4,0.02676709306758084,0.029348287288295742,0.1743262699023804,2.723947181737696e-06,78,108,340
5,0.031670865658825834,0.03431061276334558,0.1743262699023804,1.356957979045803e-05,71,100,346
6,0.03658489244228306,0.03558281429225376,0.1743262699023804,0.0,69,115,331
7,0.04611168291161398,0.040588630840049676,0.1743262699023804,5.514778287443675e-06,61,90,368
8,0.056879760111577665,0.044818803770732586,0.1743262699023804,3.143036271245386e-06,44,91,369
9,0.0728456738717952,0.044009872388872905,0.18591065904984141,0.0,30,65,379
10,0.08439407927144497,0.044520436948583146,0.18591065904984141,1.356957979045803e-05,22,65,389
11,0.09429415685794813,0.04804826933333723,0.18591065904984141,1.356957979045803e-05,24,71,373
12,0.09965928408281786,0.05297256648576653,0.18591065904984141,6.232449021384381e-16,21,58,382
13,0.10690102546946469,0.0560764544033578,0.18591065904984141,0.0,25,47,403
14,0.1043964755278357,0.06301550256943683,0.18591065904984141,1.356957979045803e-05,35,45,417
15,0.1085857420587021,0.0641382954920219,0.18591065904984141,1.113148687615448e-05,31,38,424
16,0.10776292052395774,0.06750126643247,0.18591065904984141,3.143036271245386e-06,36,30,432
17,0.1077950325075875,0.07041281570066524,0.18591065904984141,6.232449021384381e-16,31,28,416
18,0.1119935568403037,0.06948999467628234,0.19779788181857202,6.232449021384381e-16,33,19,429
19,0.10988510486263924,0.07128661044451699,0.19779788181857202,2.723947181737696e-06,39,22,424
20,0.11072394317914999,0.07184370178376406,0.19779788181857202,1.356957979045803e-05,31,14,436
21,0.10507197893180242,0.07220383521594947,0.19779788181857202,5.514778287443675e-06,39,22,420
22,0.11029344014923363,0.07225491448519249,0.19779788181857202,1.113148687615448e-05,36,9,441
23,0.11000922822818021,0.07174203209317953,0.19779788181857202,1.113148687615448e-05,40,15,435
24,0.10870935774404182,0.07412252781286068,0.19779788181857202,3.143036271245386e-06,36,30,420
25,0.10319050662450448,0.07276381824691305,0.19779788181857202,1.356957979045803e-05,48,30,410
26,0.10742288753128168,0.07280191068659826,0.21000915382255286,1.2040300767436537e-05,45,26,416
27,0.10760918982142825,0.07280739579971393,0.21000915382255286,2.723947181737696e-06,45,30,430
28,0.1106871946549692,0.06984220955090822,0.21000915382255286,1.2040300767436537e-05,47,15,431
29,0.10718989454429767,0.07155276945794711,0.21000915382255286,1.356957979045803e-05,44,19,439
30,0.11221014644582676,0.07090336802222107,0.21000915382255286,3.143036271245386e-06,43,19,423
