Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.020534801480713762,0.02833052325614411,0.0960613170865325,0.0002188766282482655,4,3,19
2,0.029730176773906547,0.03322562587672848,0.107704829007651,3.143036271245386e-06,5,8,20
3,0.03488161741590889,0.03122010330150537,0.107704829007651,7.256214972115208e-05,4,1,25
4,0.02585887597349543,0.03534976274793484,0.107704829007651,3.143036271245386e-06,3,6,20
5,0.021036571791129617,0.027963516337721334,0.107704829007651,1.356957979045803e-05,4,6,18
6,0.03634794997822001,0.03851224038120693,0.107704829007651,0.00031796836904549107,7,2,22
7,0.0340853027764881,0.03318651806382907,0.107704829007651,4.09297286671355e-05,7,7,21
8,0.037678409325845236,0.03353796219153498,0.107704829007651,0.0009036810677518624,4,5,19
9,0.05223531349772025,0.03455854939974338,0.107704829007651,5.2901385276787945e-05,6,2,26
10,0.03356840974203967,0.0334865362536585,0.13065573085539192,0.00043746016120260685,5,6,22
11,0.03797985599904844,0.03574104647681724,0.13065573085539192,4.09297286671355e-05,6,5,19
12,0.0413157486103221,0.03474230361033254,0.13065573085539192,6.232449021384381e-16,3,1,21
13,0.06192392632768169,0.03603465128853432,0.13065573085539192,0.00031796836904549107,7,1,25
14,0.04957747829782674,0.036833652868305485,0.13065573085539192,1.356957979045803e-05,7,3,21
15,0.06566937214568731,0.04131602702497675,0.13065573085539192,0.0008943050386603941,6,7,19
16,0.07937949168750397,0.04403472986087975,0.13559973027449287,0.00031796836904549107,6,0,28
17,0.07105576648075722,0.04417759969008376,0.13559973027449287,0.00031796836904549107,7,3,17
18,0.08705954486480943,0.04436659925025705,0.14120509268641837,0.00048318135702285925,9,6,20
19,0.08511646840635989,0.046572741434589,0.14120509268641837,0.0009852494767374409,7,0,26
20,0.07702301577217004,0.05375999200371014,0.14120509268641837,0.00048318135702285925,6,7,21
21,0.08820451416620141,0.04779631210625376,0.15278486691933646,0.0012940641521512217,6,3,23
22,0.08685794261434981,0.05891209926116724,0.15278486691933646,1.356957979045803e-05,2,1,25
23,0.10435423243170273,0.050680853464164954,0.15278486691933646,0.016781291760210985,4,0,26
24,0.09409133621877001,0.05478593715421259,0.15278486691933646,0.00031796836904549107,5,2,22
25,0.09070054438214584,0.04996412390341739,0.15278486691933646,0.0004462945456119166,6,4,24
26,0.0867274953464267,0.05088981643492414,0.15278486691933646,0.01033152432258539,4,5,21
27,0.07116814905777893,0.0429367059046996,0.15278486691933646,0.000710788524116923,6,4,20
28,0.07651498473412573,0.05084913048483636,0.15278486691933646,0.00018744445845371883,6,3,25
29,0.07532204236753841,0.039931846290886086,0.15278486691933646,0.021571104741971867,6,2,18
30,0.07869341741731506,0.04658838024744328,0.1606134682171461,0.007749803551499678,7,4,22
