Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.014810049599302705,0.020114264069885073,0.08687012205069386,1.113148687615448e-05,15,30,56
2,0.021868831464897497,0.02651612348604852,0.08687012205069386,6.232449021384381e-16,17,27,57
3,0.02680311101598925,0.029198048828395398,0.08687012205069386,5.514778287443675e-06,14,31,59
4,0.04226328258016163,0.03437410944895749,0.08687012205069386,0.0001675454098696106,9,25,65
5,0.055147017817160665,0.034191851213534796,0.08687012205069386,0.0012940641521512217,8,13,81
6,0.0729860797631783,0.029129687205379253,0.08687012205069386,4.290012929824804e-05,6,12,76
7,0.07529046532197903,0.027830846388846826,0.08687012205069386,0.0009036810677518624,4,4,90
8,0.0836606723348723,0.015808722684930186,0.08687012205069386,0.0005874204597814142,1,6,82
9,0.08207175870250731,0.019092530392930563,0.08687012205069386,0.0009036810677518624,2,6,80
10,0.08200927894765497,0.019320413201949636,0.08687012205069386,0.0005874204597814142,2,3,81
11,0.08443435876568717,0.013898950214351119,0.08687012205069386,0.0005874204597814142,1,3,87
12,0.08361576123859696,0.015983354667060683,0.08687012205069386,0.0009036810677518624,1,2,80
13,0.0853237559891776,0.010853502487930225,0.08687012205069386,0.00395108491028153,1,5,89
14,0.08188666381874843,0.01974474061683931,0.08687012205069386,0.0009036810677518624,3,2,86
15,0.08523434222543347,0.011462977085982427,0.08687012205069386,0.0012940641521512217,1,1,87
16,0.08601436147170846,0.008514710252615864,0.08687012205069386,0.0012940641521512217,1,5,83
17,0.0830684091025997,0.016640164571628934,0.08687012205069386,0.0005874204597814142,2,6,76
18,0.08100461381413228,0.021419680632619405,0.08687012205069386,0.0005874204597814142,3,4,88
19,0.08287041644229319,0.017477751362741004,0.08687012205069386,0.0005874204597814142,2,6,80
20,0.08201592299007525,0.0192278368546261,0.08687012205069386,0.0012940641521512217,3,6,84
21,0.08226741123943924,0.01832668923806629,0.08687012205069386,0.0009036810677518624,4,9,79
22,0.07906704916406898,0.02350499663500322,0.08687012205069386,0.0005874204597814142,4,4,80
23,0.0818553655361989,0.019891526995184088,0.08687012205069386,0.0005874204597814142,2,6,80
24,0.08222910789869296,0.01846644097442434,0.08687012205069386,0.0020370879755711494,3,2,86
25,0.0853237559891776,0.010853502487930225,0.08687012205069386,0.00395108491028153,1,4,84
26,0.08273695685942042,0.01805792057418912,0.08687012205069386,0.0009036810677518624,3,3,83
27,0.08355682151327812,0.016242529444827472,0.08687012205069386,0.0012940641521512217,1,4,90
28,0.08372434013515934,0.0154895791603892,0.08687012205069386,0.0012940641521512217,1,4,86
29,0.08267846001674485,0.01827282201961151,0.08687012205069386,0.0012940641521512217,2,1,83
30,0.08451326270447732,0.013439665296413227,0.08687012205069386,0.0009036810677518624,1,2,82
31,0.08454373674290261,0.01325219597302083,0.08687012205069386,0.00395108491028153,1,4,74
32,0.08280210534781697,0.017777629538404463,0.08687012205069386,0.0005874204597814142,1,3,83
33,0.08292982421372644,0.017251686035641627,0.08687012205069386,0.0005874204597814142,2,5,83
34,0.08295799331991802,0.017142491563821256,0.08687012205069386,0.0012940641521512217,1,5,87
35,0.08180775987995828,0.020049850318948754,0.08687012205069386,0.0005874204597814142,2,4,86
36,0.08281147671697438,0.017712596314931023,0.08687012205069386,0.0005874204597814142,2,8,82
37,0.08025559450828576,0.022446539408294486,0.08687012205069386,0.0005874204597814142,3,3,91
38,0.08285878579251305,0.01751942442516131,0.08687012205069386,0.0012940641521512217,2,6,84
39,0.08183433008753957,0.019944619781087806,0.08687012205069386,0.0005874204597814142,1,5,75
40,0.08258425271884307,0.0186817782190763,0.08687012205069386,0.0005874204597814142,2,7,85
41,0.07953371590667656,0.02340353669226168,0.08687012205069386,0.0005874204597814142,4,2,84
42,0.08280600917866096,0.017759678644750948,0.08687012205069386,0.0005874204597814142,1,2,84
43,0.08530461601983048,0.01099771451802718,0.08687012205069386,0.0020370879755711494,1,5,89
44,0.08289038065576451,0.017361911127695064,0.08687012205069386,0.0009036810677518624,2,4,84
45,0.08298302322208198,0.017074943830980505,0.08687012205069386,0.0009036810677518624,2,5,87
46,0.0826936306960585,0.01821684495699429,0.08687012205069386,0.0012940641521512217,2,3,81
47,0.08347010991279999,0.016658672127754213,0.08687012205069386,0.0005874204597814142,1,1,85
48,0.08620845030117096,0.006583550782636558,0.08687012205069386,0.0207029470984026,1,9,75
49,0.07906323595588562,0.023528378488662856,0.08687012205069386,0.0005874204597814142,4,5,79
50,0.08234158886468025,0.01803330568608782,0.08687012205069386,0.0009036810677518624,2,3,83
