Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.016235316008968378,0.031897841461951,0.2269377666679807,1.356957979045803e-05,19,37,59
2,0.02429639586214681,0.03378142694060968,0.2269377666679807,1.113148687615448e-05,18,29,59
3,0.030666484518541794,0.04328449823286616,0.2269377666679807,1.356957979045803e-05,21,21,67
4,0.0359967145166719,0.04906169399459226,0.2269377666679807,1.356957979045803e-05,17,26,62
5,0.0567787041931142,0.06011023970703202,0.2269377666679807,6.232449021384381e-16,14,26,68
6,0.06612203156452556,0.06116464793062264,0.2269377666679807,2.5383490428103392e-05,16,14,68
7,0.08562219790483082,0.0648081552736625,0.2269377666679807,2.723947181737696e-06,11,15,73
8,0.09468067111055341,0.06660540247370526,0.2269377666679807,0.0005874204597814142,5,14,76
9,0.1014938446793907,0.06625089111684006,0.2269377666679807,0.00048318135702285925,5,13,79
10,0.11635246000279974,0.07091891871706649,0.2269377666679807,0.0012940641521512217,5,19,73
11,0.13399806520600074,0.0863386396699729,0.2269377666679807,4.09297286671355e-05,6,15,71
12,0.14348022996384524,0.0872546456799427,0.2269377666679807,4.09297286671355e-05,7,13,73
13,0.14159645886304112,0.09081807597517125,0.2269377666679807,4.09297286671355e-05,9,18,70
14,0.15739503799885418,0.08648582942535027,0.2269377666679807,4.09297286671355e-05,7,5,85
15,0.1736914451759753,0.08569093913931135,0.2269377666679807,4.09297286671355e-05,7,3,85
16,0.16371785784321646,0.09039553169079236,0.2269377666679807,4.09297286671355e-05,8,7,83
17,0.16811287698468116,0.0901447598346661,0.2269377666679807,4.09297286671355e-05,7,7,83
18,0.16972268877306074,0.08715177610050749,0.2269377666679807,4.09297286671355e-05,7,4,88
19,0.16148540330323974,0.09148268905831082,0.2269377666679807,4.09297286671355e-05,9,1,89
20,0.1506933510802838,0.0965698349873542,0.2269377666679807,4.09297286671355e-05,8,5,83
